product,fund_name,cik,doc_set,form,filing_date,accession,primary_document,url,local_path,pulled_at_utc
hl_paf,Hamilton Lane Private Assets Fund,1803491,prospectus,424B3,2026-05-08,0001213900-26-053944,ea0289729-02_424b3.htm,https://www.sec.gov/Archives/edgar/data/1803491/000121390026053944/ea0289729-02_424b3.htm,data/raw/hl_paf/424B3_2026-05-08_ea0289729-02_424b3.htm,2026-07-10T02:03:09+00:00
hl_paf,Hamilton Lane Private Assets Fund,1803491,prospectus,486BXT,2023-09-25,0001213900-23-078941,ea162141_486bxt.htm,https://www.sec.gov/Archives/edgar/data/1803491/000121390023078941/ea162141_486bxt.htm,data/raw/hl_paf/486BXT_2023-09-25_ea162141_486bxt.htm,2026-07-10T02:03:09+00:00
hl_paf,Hamilton Lane Private Assets Fund,1803491,prospectus,486BPOS,2021-07-29,0001398344-21-015077,fp0067291_486bpos.htm,https://www.sec.gov/Archives/edgar/data/1803491/000139834421015077/fp0067291_486bpos.htm,data/raw/hl_paf/486BPOS_2021-07-29_fp0067291_486bpos.htm,2026-07-10T02:03:09+00:00
hl_paf,Hamilton Lane Private Assets Fund,1803491,annual_report,N-CSR,2026-06-09,0001213900-26-066804,ea0291054-01_ncsr.htm,https://www.sec.gov/Archives/edgar/data/1803491/000121390026066804/ea0291054-01_ncsr.htm,data/raw/hl_paf/N-CSR_2026-06-09_ea0291054-01_ncsr.htm,2026-07-10T02:03:09+00:00
hl_paf,Hamilton Lane Private Assets Fund,1803491,holdings,NPORT-P,2026-05-29,0001193125-26-247900,xslFormNPORT-P_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1803491/000119312526247900/xslFormNPORT-P_X01/primary_doc.xml,data/raw/hl_paf/NPORT-P_2026-05-29_primary_doc.xml,2026-07-10T02:03:09+00:00
hl_paf,Hamilton Lane Private Assets Fund,1803491,tender_offer,SC TO-I,2026-05-06,0001213900-26-052657,ea0288793-01_sctoi.htm,https://www.sec.gov/Archives/edgar/data/1803491/000121390026052657/ea0288793-01_sctoi.htm,data/raw/hl_paf/SC TO-I_2026-05-06_ea0288793-01_sctoi.htm,2026-07-10T02:03:09+00:00
stepstone_spm,StepStone Private Markets,1789470,prospectus,424B3,2025-12-31,0001193125-25-338319,d63254d424b3.htm,https://www.sec.gov/Archives/edgar/data/1789470/000119312525338319/d63254d424b3.htm,data/raw/stepstone_spm/424B3_2025-12-31_d63254d424b3.htm,2026-07-12T23:20:52+00:00
stepstone_spm,StepStone Private Markets,1789470,prospectus,486BPOS,2025-10-20,0001193125-25-243390,d60278d486bpos.htm,https://www.sec.gov/Archives/edgar/data/1789470/000119312525243390/d60278d486bpos.htm,data/raw/stepstone_spm/486BPOS_2025-10-20_d60278d486bpos.htm,2026-07-12T23:20:52+00:00
stepstone_spm,StepStone Private Markets,1789470,annual_report,N-CSR,2026-06-09,0001213900-26-066828,ea0293635-01_ncsr.htm,https://www.sec.gov/Archives/edgar/data/1789470/000121390026066828/ea0293635-01_ncsr.htm,data/raw/stepstone_spm/N-CSR_2026-06-09_ea0293635-01_ncsr.htm,2026-07-12T23:20:52+00:00
stepstone_spm,StepStone Private Markets,1789470,holdings,NPORT-P,2026-05-29,0001193125-26-247063,xslFormNPORT-P_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1789470/000119312526247063/xslFormNPORT-P_X01/primary_doc.xml,data/raw/stepstone_spm/NPORT-P_2026-05-29_primary_doc.xml,2026-07-12T23:20:52+00:00
stepstone_spm,StepStone Private Markets,1789470,tender_offer,SC TO-I,2026-05-12,0001193125-26-219013,na-20260512.htm,https://www.sec.gov/Archives/edgar/data/1789470/000119312526219013/na-20260512.htm,data/raw/stepstone_spm/SC TO-I_2026-05-12_na-20260512.htm,2026-07-12T23:20:52+00:00
dxyz,Destiny Tech100 Inc,1843974,prospectus,424B5,2026-05-26,0001575872-26-000359,dxyz102_424b5.htm,https://www.sec.gov/Archives/edgar/data/1843974/000157587226000359/dxyz102_424b5.htm,data/raw/dxyz/424B5_2026-05-26_dxyz102_424b5.htm,2026-07-12T23:20:56+00:00
dxyz,Destiny Tech100 Inc,1843974,prospectus,424B3,2026-05-12,0001575872-26-000288,dxyz100_424b3.htm,https://www.sec.gov/Archives/edgar/data/1843974/000157587226000288/dxyz100_424b3.htm,data/raw/dxyz/424B3_2026-05-12_dxyz100_424b3.htm,2026-07-12T23:20:56+00:00
dxyz,Destiny Tech100 Inc,1843974,prospectus,N-2/A,2025-07-10,0001575872-25-000447,dxyz083_n2a.htm,https://www.sec.gov/Archives/edgar/data/1843974/000157587225000447/dxyz083_n2a.htm,data/raw/dxyz/N-2-A_2025-07-10_dxyz083_n2a.htm,2026-07-12T23:20:56+00:00
dxyz,Destiny Tech100 Inc,1843974,annual_report,N-CSR,2026-03-10,0001213900-26-025304,ea0276106-01_ncsr.htm,https://www.sec.gov/Archives/edgar/data/1843974/000121390026025304/ea0276106-01_ncsr.htm,data/raw/dxyz/N-CSR_2026-03-10_ea0276106-01_ncsr.htm,2026-07-12T23:20:56+00:00
